duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,0.176460,0.299481,-0.018762,0.000389,-0.000002,0.000003,-0.000002,0.000000,2.172527,0.166033,-0.058134,0.004764,0.000019,-0.000026,0.000016,-0.000004,0.946017,-0.078898,0.004533,-0.000093,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.457568,0.263124,-0.017595,0.000389,0.000000,-0.000000,0.000000,-0.000000,2.285196,0.064073,-0.043827,0.004767,-0.000004,0.000007,-0.000007,0.000002,0.871558,-0.070112,0.004253,-0.000093,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.703487,0.229101,-0.016428,0.000389,-0.000000,0.000000,-0.000000,0.000000,2.310207,-0.009288,-0.029539,0.004761,0.000007,-0.000022,0.000040,-0.000014,0.805605,-0.061886,0.003973,-0.000093,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.916549,0.197413,-0.015261,0.000389,-0.000000,-0.000000,0.000000,-0.000000,2.276153,-0.054018,-0.015116,0.004896,0.000021,0.000086,-0.000262,0.000053,0.747599,-0.054218,0.003695,-0.000092,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.099089,0.168056,-0.014097,0.000388,-0.000000,-0.000000,-0.000000,0.000000,2.211814,-0.070242,-0.002241,0.002481,-0.001602,0.000358,0.000112,-0.000054,0.696984,-0.047105,0.003419,-0.000092,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.253436,0.141025,-0.012935,0.000387,-0.000000,-0.000000,-0.000000,0.000000,2.140628,-0.071595,-0.000261,0.000033,0.000002,0.000069,-0.000053,0.000013,0.653206,-0.040541,0.003146,-0.000090,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.381912,0.116313,-0.011778,0.000385,-0.000001,-0.000000,-0.000000,0.000000,2.068835,-0.071897,0.000008,0.000114,-0.000002,-0.000013,0.000009,-0.000002,0.615721,-0.034520,0.002877,-0.000089,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.486832,0.093909,-0.010628,0.000382,-0.000001,-0.000000,-0.000000,0.000000,1.997052,-0.071574,0.000296,0.000080,-0.000007,0.000002,-0.000001,0.000000,0.583989,-0.029032,0.002613,-0.000087,0.000001,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.570494,0.073793,-0.009491,0.000376,-0.000002,-0.000000,-0.000000,0.000000,1.925849,-0.070764,0.000505,0.000061,-0.000003,-0.000000,0.000000,-0.000000,0.557484,-0.024065,0.002355,-0.000085,0.000001,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.635171,0.055933,-0.008374,0.000367,-0.000003,-0.000000,-0.000000,0.000000,1.855647,-0.069583,0.000670,0.000050,-0.000002,0.000000,0.000000,-0.000000,0.535689,-0.019606,0.002105,-0.000082,0.000001,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
